City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
405,fallon,75,US,1526226960,67,46.84,-105.12,57.2,4.7
406,paysandu,20,UY,1526229693,81,-32.32,-58.08,69.06,9.62
407,miri,8,NG,1526229693,80,10.31,9.75,76.13,3.47
408,mapastepec,8,MX,1526229693,85,15.44,-92.9,82.7,3.24
409,north branch,1,US,1526228220,44,45.51,-92.98,64.4,4.7
410,elesbao veloso,44,BR,1526229693,93,-6.2,-42.14,81.08,4.25
411,ossining,75,US,1526227740,81,41.16,-73.86,53.6,6.93
412,zhicheng,36,CN,1526229694,82,35.04,112.59,64.07,2.46
413,staryy nadym,92,RU,1526229694,98,65.61,72.68,36.62,10.63
414,samarai,88,PG,1526229283,100,-10.62,150.67,78.06,8.84
415,ancud,92,CL,1526228974,100,-41.87,-73.83,50.42,6.4
416,kerikeri,36,NZ,1526229694,92,-35.23,173.95,57.63,2.8
417,takoradi,44,GH,1526229694,93,4.89,-1.75,81.03,7.94
418,alexandria,20,US,1526226900,65,31.31,-92.44,82.4,5.82
419,aykhal,64,RU,1526229251,70,65.95,111.51,12.05,2.68
420,tara,20,JP,1526227200,93,33.0,130.15,60.8,2.24
421,mogadishu,92,SO,1526229631,99,2.04,45.34,81.98,10.74
422,auki,88,NG,1526229695,55,12.18,6.51,84.95,5.7
423,lugovoy,64,RU,1526229695,52,59.72,65.88,46.29,12.19
424,vangaindrano,92,MG,1526229695,100,-23.35,47.6,66.81,2.91
425,la asuncion,88,EC,1526229695,88,-1.64,-78.74,55.29,1.9
426,ostrovnoy,44,RU,1526229205,89,68.05,39.51,33.02,3.02
427,verkhnyaya inta,88,RU,1526229695,87,65.99,60.32,31.98,10.51
428,svarstad,0,NO,1526226600,60,59.4,9.97,73.4,5.82
429,roma,0,IT,1526226900,64,41.89,12.48,69.8,11.41
430,hokitika,8,NZ,1526229696,100,-42.72,170.96,51.65,10.63
431,bull savanna,24,JM,1526229696,46,17.89,-77.59,87.65,8.39
432,xuddur,64,SO,1526229696,61,4.12,43.89,81.98,10.51
433,wucheng,8,CN,1526229696,94,29.09,119.57,67.22,2.24
434,cockburn town,76,TC,1526229025,97,21.46,-71.14,79.41,20.47
435,george town,75,MY,1526227200,88,5.42,100.33,80.6,3.36
436,eyl,0,SO,1526229224,93,7.98,49.82,81.48,10.4
437,santa-maria,90,FR,1526227200,82,41.88,8.98,64.4,13.87
438,lai,0,CN,1526229697,69,27.82,91.75,41.16,0.67
439,ashington,20,GB,1526226600,44,55.18,-1.57,60.8,11.41
440,killam,0,CA,1526229697,35,52.79,-111.86,70.82,8.61
441,taree,75,AU,1526227200,87,-31.91,152.46,57.2,9.17
442,lyubytino,0,RU,1526229698,37,58.81,33.39,69.02,4.7
443,longyan,12,CN,1526229698,98,25.1,117.03,67.17,1.79
444,concepcion,0,CO,1526229698,61,9.56,-73.66,91.07,4.14
445,ojinaga,80,US,1526229698,14,29.56,-104.41,90.35,4.14
446,tilichiki,68,RU,1526229282,98,60.47,166.1,26.0,5.26
447,rogovskaya,92,RU,1526229699,66,45.73,38.74,60.69,7.16
448,pangkalanbuun,64,ID,1526229699,91,-2.68,111.62,76.8,3.8
449,ngunguru,64,NZ,1526229699,100,-35.62,174.5,63.84,12.3
450,okhotsk,0,RU,1526229699,100,59.36,143.24,23.93,2.91
451,yerbogachen,56,RU,1526229699,48,61.28,108.01,35.76,6.15
452,tecolutla,44,MX,1526229699,54,17.31,-98.74,79.41,1.9
453,mosquera,75,CO,1526227980,67,4.71,-74.23,60.8,5.82
454,batemans bay,92,AU,1526229700,95,-35.71,150.18,56.46,9.95
455,harper,90,US,1526228100,57,30.3,-99.24,78.8,12.75
456,bria,36,CF,1526229700,87,6.54,21.99,77.61,4.36
457,inongo,0,CD,1526229700,87,-1.93,18.29,77.34,2.91
458,chabahar,0,IR,1526229700,88,25.29,60.65,86.3,11.41
459,tougan,36,BF,1526229700,23,13.07,-3.07,98.9,5.37
460,nome,75,US,1526228100,58,30.04,-94.42,86.0,8.05
461,bingol,68,TR,1526229701,100,38.88,40.49,46.74,1.79
462,bowen,0,AU,1526227200,93,-20.01,148.25,50.0,13.65
463,khandyga,92,RU,1526229701,61,62.65,135.58,35.72,6.82
464,sinegorye,0,RU,1526229701,86,62.09,150.53,26.67,2.57
465,tura,64,IN,1526229701,91,25.52,90.21,73.11,2.68
466,queanbeyan,0,AU,1526227200,81,-35.35,149.23,46.4,6.93
467,dombarovskiy,0,RU,1526229702,44,50.76,59.54,45.39,7.16
468,bereda,75,ES,1526227200,71,43.27,-7.54,55.4,5.82
469,sosva,0,RU,1526229702,52,59.17,61.86,48.63,7.72
470,coos bay,90,US,1526228400,93,43.37,-124.22,51.8,3.36
